max_remove,ckpt-10000,ckpt-20000,ckpt-30000,ckpt-40000,ckpt-50000,ckpt-70000,ckpt-80000,ckpt-90000,ckpt-100000,ckpt-110000,ckpt-120000
3,0.754662,0.751166,0.751166,0.516317,0.498834,0.500000,0.473776,0.479021,0.498834,0.495338,0.466783
4,0.802499,0.788816,0.800714,0.802499,0.802499,0.790006,0.782272,0.581202,0.378941,0.086258,0.069601
5,0.828181,0.832342,0.826397,0.664090,0.651605,0.647444,0.642093,0.628419,0.630797,0.633769,0.626635
6,0.849563,0.856429,0.838951,0.829588,0.841448,0.817104,0.691011,0.184769,0.044320,0.031211,0.004994
7,0.872749,0.874550,0.859544,0.726891,0.750300,0.743097,0.738295,0.737695,0.717887,0.710084,0.706483
8,0.880218,0.883848,0.892317,0.874773,0.866909,0.866909,0.879613,0.870538,0.860254,0.876588,0.862674
