max_remove,ckpt-10000,ckpt-20000,ckpt-30000,ckpt-40000,ckpt-50000,ckpt-70000,ckpt-80000,ckpt-90000,ckpt-100000,ckpt-110000,ckpt-120000
3,0.245338,0.248834,0.248834,0.483683,0.501166,0.500000,0.526224,0.520979,0.501166,0.504662,0.533217
4,0.197501,0.211184,0.199286,0.197501,0.197501,0.209994,0.217728,0.418798,0.621059,0.913742,0.930399
5,0.171819,0.167658,0.173603,0.335910,0.348395,0.352556,0.357907,0.371581,0.369203,0.366231,0.373365
6,0.150437,0.143571,0.161049,0.170412,0.158552,0.182896,0.308989,0.815231,0.955680,0.968789,0.995006
7,0.127251,0.125450,0.140456,0.273109,0.249700,0.256903,0.261705,0.262305,0.282113,0.289916,0.293517
8,0.119782,0.116152,0.107683,0.125227,0.133091,0.133091,0.120387,0.129462,0.139746,0.123412,0.137326
