3,,,4,,,5,,,6,,,7,,,8,,
,,,,,,21000,0.7306,0.4305,,,,21000,0.9846666667,0.2385,,,
,,,,,,21500,0.9491333333,0.8675,,,,21500,0.9833333333,0.2295,,,
,,,,,,22000,0.9707333333,0.938,,,,22000,0.9809333333,0.2435,,,
,,,,,,22500,0.9965333333,0.987,,,,22500,0.9681333333,0.245,,,
,,,,,,23000,0.9801333333,0.97,,,,23000,0.9965333333,0.2435,,,
,,,,,,23500,0.9878,0.9845,,,,23500,0.995,0.2375,,,
,,,,,,24000,0.9996666667,0.9985,,,,24000,0.9546666667,0.2405,,,
,,,,,,,,,,,,24500,0.9885333333,0.2435,,,
,,,,,,,,,,,,25000,0.9986,0.244,,,
,,,,,,,,,,,,25500,0.9990666667,0.2445,,,
,,,,,,,,,,,,26000,0.9991333333,0.2435,,,
,,,,,,,,,,,,26500,0.9603333333,0.256,,,
,,,,,,,,,,,,27000,0.9984,0.26,,,
,,,,,,,,,,,,27500,0.9986666667,0.2595,,,
,,,,,,,,,,,,28000,0.9991333333,0.2635,,,
,,,,,,,,,,,,28500,0.9524,0.256,,,
,,,,,,,,,,,,29000,0.998,0.2635,,,
,,,,,,,,,,,,29500,0.9999333333,0.255,,,
,,,,,,,,,,,,30000,1,0.2515,,,
